CO2,CH4,N2O,FGAS,ODS,OC,BC,SOX,NOX,BBAER,DUST,CLOUD,O3S,O3T,H2OS,LCC,BCSNOW,VOLC,SOLAR
3.52772,0.420405,0.309626,0.0994709,0.0883323,-0.0271798,0.0940381,-0.0770792,-0.0476124,0.0377593,-0.1,-0.392035,0.0,0.247458,0.0718695,-0.231591,0.0464631,0.0,0.0431769
3.53247,0.418971,0.310572,0.100296,0.0870051,-0.0271108,0.0937089,-0.0765893,-0.0474829,0.0375664,-0.1,-0.391088,0.0,0.24666,0.0716227,-0.231641,0.0463004,0.0,0.0322656
3.53727,0.417579,0.311507,0.101134,0.0857063,-0.0270419,0.0933798,-0.0760995,-0.0473534,0.0373736,-0.1,-0.390138,0.0,0.245873,0.0713833,-0.231693,0.0461378,0.0,0.025655
3.5421,0.416224,0.312433,0.101985,0.0844348,-0.0269729,0.0930506,-0.0756097,-0.0472239,0.0371807,-0.1,-0.389188,0.0,0.245095,0.0711501,-0.231748,0.0459752,0.0,0.0725287
3.54687,0.414874,0.313348,0.102845,0.0831875,-0.026904,0.0927214,-0.0751199,-0.0470944,0.0369879,-0.1,-0.388235,0.0,0.244319,0.070918,-0.231806,0.0458126,0.0,0.146252
3.55158,0.413512,0.314254,0.103712,0.0819624,-0.0268351,0.0923923,-0.07463,-0.0469649,0.036795,-0.1,-0.387281,0.0,0.243539,0.0706837,-0.231866,0.0456499,0.0,0.181191
3.55642,0.412156,0.31515,0.104589,0.08076,-0.026797,0.0921254,-0.07421,-0.0468589,0.0365924,-0.1,-0.386584,0.0,0.24276,0.0704505,-0.231927,0.0455181,0.0,0.190562
3.56152,0.410819,0.316036,0.105475,0.0795805,-0.0268207,0.091983,-0.0739294,-0.0467997,0.0363705,-0.1,-0.386405,0.0,0.241986,0.0702204,-0.231988,0.0454478,0.0,0.174151
3.56648,0.40952,0.316893,0.106352,0.078424,-0.0268752,0.0919029,-0.0737186,-0.046764,0.0361389,-0.1,-0.386484,0.0,0.24141,0.069997,-0.232046,0.0454082,0.0,0.130187
3.57091,0.408279,0.317701,0.1072,0.0772907,-0.0269298,0.0918229,-0.0735078,-0.0467282,0.0359073,-0.1,-0.386564,0.0,0.24104,0.0697836,-0.232101,0.0453686,0.0,0.0860781
3.57477,0.407092,0.31846,0.108021,0.0761801,-0.0269843,0.0917428,-0.0732971,-0.0466925,0.0356757,-0.1,-0.386643,0.0,0.240683,0.0695795,-0.232154,0.045329,0.0,0.0592681
